0x80003100 __check_pad3
0x800094C0 AddInactiveCameraHint__14CCameraManagerF9TUniqueIdR13CStateManager
0x8000957C DeleteCameraHint__14CCameraManagerF9TUniqueIdR13CStateManager
0x80009664 AddActiveCameraHint__14CCameraManagerF9TUniqueIdR13CStateManager
0x80009730 HasBallCameraInitialPositionHint__14CCameraManagerCFR13CStateManager
0x800097AC UpdateCameraHints__14CCameraManagerFfR13CStateManager
0x8000A29C RestoreHintlessCamera__14CCameraManagerFR13CStateManager
0x8000A488 ApplyCameraHint__14CCameraManagerFRC17CScriptCameraHintR13CStateManager
0x8000A6A0 SkipBallCameraCinematic__14CCameraManagerFR13CStateManager
0x8000A768 InterpolateToBallCamera__14CCameraManagerFRC12CTransform4f9TUniqueIdRC9CVector3ffffbR13CStateManager
0x8000A848 SetPlayerCamera__14CCameraManagerFR13CStateManager9TUniqueId
0x8000A8CC ShouldBypassInterpolationCamera__14CCameraManagerCFv
0x8000A8D4 IsInterpolationCameraActive__14CCameraManagerCFv
0x8000A8E4 IsInFirstPersonCamera__14CCameraManagerCFv
0x8000A900 IsInCinematicCamera__14CCameraManagerCFv
0x8000A914 GetGlobalCameraTranslation__14CCameraManagerCFRC13CStateManager
0x8000A968 GetCurrentCameraTransform__14CCameraManagerCFRC13CStateManager
0x8000A9D0 RemoveCameraShaker__14CCameraManagerFi
0x8000AA20 AddCameraShaker__14CCameraManagerFRC16CCameraShakeDatab
0x8000ADA8 __ct__16CCameraShakeDataFRC16CCameraShakeData
0x8000AF50 __dt__22CCameraShakerComponentFv
0x8000AF98 SkipCinematic__14CCameraManagerFR13CStateManager
0x8000B058 EnterCinematic__14CCameraManagerFR13CStateManager
0x8000B1C4 RemoveCinemaCamera__14CCameraManagerF9TUniqueIdR13CStateManager
0x8000B258 find<Q24rstl110pointer_iterator<9TUniqueId,Q24rstl45vector<9TUniqueId,Q24rstl17rmemory_allocator>,Q24rstl17rmemory_allocator>,9TUniqueId>__4rstlFQ24rstl110pointer_iterator<9TUniqueId,Q24rstl45vector<9TUniqueId,Q24rstl17rmemory_allocator>,Q24rstl17rmemory_allocator>Q24rstl110pointer_iterator<9TUniqueId,Q24rstl45vector<9TUniqueId,Q24rstl17rmemory_allocator>,Q24rstl17rmemory_allocator>RC9TUniqueId
0x8000B33C AddCinemaCamera__14CCameraManagerF9TUniqueIdR13CStateManager
0x8000B46C ProcessInput__14CCameraManagerFRC11CFinalInputR13CStateManager
0x8000B51C SetInsideFluid__14CCameraManagerFb9TUniqueId
0x8000B54C Update__14CCameraManagerFfR13CStateManager
0x8000B5F4 CalculateFogDensity__14CCameraManagerFR13CStateManagerPC12CScriptWater
0x8000B680 UpdateFog__14CCameraManagerFfR13CStateManager
0x8000B878 UpdateRumble__14CCameraManagerFfR13CStateManager
0x8000BA28 UpdateSfxListener__14CCameraManagerFR13CStateManager
0x8000BAC4 SetCurrentCameraId__14CCameraManagerF9TUniqueIdR13CStateManager
0x8000BAD0 GetLastCineCamera__14CCameraManagerCFR13CStateManager
0x8000BB18 GetCurrentCamera__14CCameraManagerCFR13CStateManager
0x8000BB60 GetCurrentCamera__14CCameraManagerFR13CStateManager
0x8000BBA8 GetLastCineCameraId__14CCameraManagerCFv
0x8000BBD8 GetCurrentCameraId__14CCameraManagerCFv
0x8000BC08 RenderCameras__14CCameraManagerFRC13CStateManager
0x8000BC90 ResetCameras__14CCameraManagerFR13CStateManager
0x8000BD60 ThinkCameras__14CCameraManagerFfR13CStateManager
0x8000BE58 CreateStandardCameras__14CCameraManagerFR13CStateManager
0x8000C0B8 DefaultAspect__14CCameraManagerFv
0x8000C0C0 DefaultFarPlane__14CCameraManagerFv
0x8000C0C8 DefaultNearPlane__14CCameraManagerFv
0x8000C0D0 DefaultFirstPersonFov__14CCameraManagerFv
0x8000C0D8 DefaultThirdPersonFov__14CCameraManagerFv
0x8000C0E0 __ct__14CCameraManagerF9TUniqueId
0x8000C2B4 Clamp<f>__5CMathFRCfRCfRCf
0x8000C408 reserve__Q24rstl45vector<9TUniqueId,Q24rstl17rmemory_allocator>Fi
0x8000C788 SetCommandFiltered__13ControlMapperFQ213ControlMapper9ECommandsb
0x8000C79C ResetCommandFilters__13ControlMapperFv
0x8000C7D0 GetPressInput__13ControlMapperFQ213ControlMapper9ECommandsRC11CFinalInput
0x8000C874 GetDigitalInput__13ControlMapperFQ213ControlMapper9ECommandsRC11CFinalInput
0x8000C918 GetAnalogInput__13ControlMapperFQ213ControlMapper9ECommandsRC11CFinalInput
0x8000C9BC GetDescriptionForCommand__13ControlMapperFQ213ControlMapper9ECommands
0x8000CD98 GetDescriptionForFunction__13ControlMapperFQ213ControlMapper13EFunctionList
0x8000CF38 PStart__11CFinalInputCFv
0x8000CF50 PR__11CFinalInputCFv
0x8000CF68 PL__11CFinalInputCFv
0x8000CF80 PZ__11CFinalInputCFv
0x8000CF98 PY__11CFinalInputCFv
0x8000CFB0 PX__11CFinalInputCFv
0x8000CFC8 PB__11CFinalInputCFv
0x8000CFE0 PA__11CFinalInputCFv
0x8000CFF8 PDPRight__11CFinalInputCFv
0x8000D010 PDPLeft__11CFinalInputCFv
0x8000D028 PDPDown__11CFinalInputCFv
0x8000D040 PDPUp__11CFinalInputCFv
0x8000D058 PRTrigger__11CFinalInputCFv
0x8000D078 PLTrigger__11CFinalInputCFv
0x8000D098 PRARight__11CFinalInputCFv
0x8000D0D0 PRALeft__11CFinalInputCFv
0x8000D10C PRADown__11CFinalInputCFv
0x8000D148 PRAUp__11CFinalInputCFv
0x8000D180 PLARight__11CFinalInputCFv
0x8000D1B8 PLALeft__11CFinalInputCFv
0x8000D1F4 PLADown__11CFinalInputCFv
0x8000D230 PLAUp__11CFinalInputCFv
0x8000D268 DStart__11CFinalInputCFv
0x8000D280 DR__11CFinalInputCFv
0x8000D298 DL__11CFinalInputCFv
0x8000D2B0 DZ__11CFinalInputCFv
0x8000D2C8 DY__11CFinalInputCFv
0x8000D2E0 DX__11CFinalInputCFv
0x8000D2F8 DB__11CFinalInputCFv
0x8000D310 DA__11CFinalInputCFv
0x8000D328 DDPRight__11CFinalInputCFv
0x8000D340 DDPLeft__11CFinalInputCFv
0x8000D358 DDPDown__11CFinalInputCFv
0x8000D370 DDPUp__11CFinalInputCFv
0x8000D388 DRTrigger__11CFinalInputCFv
0x8000D3A8 DLTrigger__11CFinalInputCFv
0x8000D3C8 DRARight__11CFinalInputCFv
0x8000D3E8 DRALeft__11CFinalInputCFv
0x8000D40C DRADown__11CFinalInputCFv
0x8000D430 DRAUp__11CFinalInputCFv
0x8000D450 DLARight__11CFinalInputCFv
0x8000D470 DLALeft__11CFinalInputCFv
0x8000D494 DLADown__11CFinalInputCFv
0x8000D4B8 DLAUp__11CFinalInputCFv
0x8000D4D8 AStart__11CFinalInputCFv
0x8000D4F4 AR__11CFinalInputCFv
0x8000D510 AL__11CFinalInputCFv
0x8000D52C AZ__11CFinalInputCFv
0x8000D548 AY__11CFinalInputCFv
0x8000D564 AX__11CFinalInputCFv
0x8000D580 AB__11CFinalInputCFv
0x8000D59C AA__11CFinalInputCFv
0x8000D5B8 ADPRight__11CFinalInputCFv
0x8000D5D4 ADPLeft__11CFinalInputCFv
0x8000D5F0 ADPDown__11CFinalInputCFv
0x8000D60C ADPUp__11CFinalInputCFv
0x8000D628 ARTrigger__11CFinalInputCFv
0x8000D630 ALTrigger__11CFinalInputCFv
0x8000D638 ARARight__11CFinalInputCFv
0x8000D650 ARALeft__11CFinalInputCFv
0x8000D668 ARADown__11CFinalInputCFv
0x8000D680 ARAUp__11CFinalInputCFv
0x8000D698 ALARight__11CFinalInputCFv
0x8000D6B0 ALALeft__11CFinalInputCFv
0x8000D6C8 ALADown__11CFinalInputCFv
0x8000D6E0 ALAUp__11CFinalInputCFv
0x8000D6F8 __sinit_CControlMapper_cpp
0x8000E050 __dt__Q24rstl21reserved_vector<b,65>Fv
0x8000E0E4 GetGunFollowTransform__18CFirstPersonCameraCFv
0x8000E0EC Accept__18CFirstPersonCameraFR8IVisitor
0x8000E124 Think__18CFirstPersonCameraFfR13CStateManager
0x8000E318 SkipCinematic__18CFirstPersonCameraFv
0x8000E340 Reset__18CFirstPersonCameraFRC12CTransform4fR13CStateManager
0x8000E3C8 Render__18CFirstPersonCameraCFRC13CStateManager
0x8000E3CC PreThink__18CFirstPersonCameraFfR13CStateManager
0x8000E3D0 UpdateTransform__18CFirstPersonCameraFR13CStateManagerf
0x8000F7D4 UpdateElevation__18CFirstPersonCameraFR13CStateManager
0x8000FA80 ProcessInput__18CFirstPersonCameraFRC11CFinalInputR13CStateManager
0x8000FA84 __dt__18CFirstPersonCameraFv
0x8000FAE4 __ct__18CFirstPersonCameraFRC9TUniqueIdRC12CTransform4f9TUniqueIdfffff
0x8000FCCC GetObjectByIndex__11CObjectListCFi
0x8000FCDC __vc__11CObjectListCFi
0x8000FD14 __vc__11CObjectListFi
0x8000FD4C GetValidObjectById__11CObjectListCF9TUniqueId
0x8000FD9C GetValidObjectById__11CObjectListF9TUniqueId
0x8000FDEC GetObjectById__11CObjectListCF9TUniqueId
0x8000FE48 GetObjectById__11CObjectListF9TUniqueId
0x8000FEA4 RemoveObject__11CObjectListF9TUniqueId
0x8000FF84 AddObject__11CObjectListFR7CEntity
0x80010030 IsQualified__11CObjectListFRC7CEntity
0x80010038 __ct__11CObjectListF15EGameObjectList
0x8001012C __ct__Q211CObjectList16SObjectListEntryFv
0x80010144 __dt__7CPlayerFv
0x800108CC __dt__10CMorphBallFv
0x80010A98 IsTransparent__7CPlayerCFv
0x80010AB0 IsEnergyLow__7CPlayerCFRC13CStateManager
0x80010B2C FinishNewScan__7CPlayerFR13CStateManager
0x80010C58 GetAttachedActorStruggle__7CPlayerCFv
0x80010C60 StartSamusVoiceSfx__7CPlayerFUssi
0x80010D30 PostUpdate__7CPlayerFfR13CStateManager
0x80010F04 __ct__16CPlayerCameraBobFRC16CPlayerCameraBob
0x80011174 SetPlayerHitWallDuringMove__7CPlayerFv
0x8001118C ApplySubmergedPitchBend__7CPlayerFR10CSfxHandle
0x800111D4 UpdatePhazonDamage__7CPlayerFfR13CStateManager
0x8001174C __dt__17CCollidableSphere
0x800117A8 __dt__19CCollisionPrimitiveFv
0x800117F0 UpdatePhazonCameraShake__7CPlayerFfR13CStateManager
0x80011944 DecrementPhazon__7CPlayerFv
0x8001195C IncrementPhazon__7CPlayerFv
0x80011980 DoPreThink__7CPlayerfRC13CStateManager
0x80011A04 DoThink__7CPlayerFfRC13CStateManager
0x80011A88 ResetControlDirectionInterpolation__7CPlayerFv
0x80011AA4 SetControlDirectionInterpolation__7CPlayerFf
0x80011AC4 IsPlayerDeadEnough__7CPlayerCFv
0x80011B2C AsyncLoadSuit__7CPlayerFR13CStateManager
0x80011B50 LoadAnimationTokens__7CPlayerFv
0x80011CD8 HasTransitionBeamModel__7CPlayerCFv
0x80011D08 CanRenderUnsorted__7CPlayerCFRC13CStateManager
0x80011D10 GetDamageVulnerability__7CPlayerCFRC9CVector3fRC9CVector3fRC11CDamageInfo
0x80011D50 GetDamageVulnerability__7CPlayerCFv
0x80011DE4 GetHomingPosition__7CPlayerCFRC13CStateManagerf
0x80011E78 GetAimPosition__7CPlayerCFRC13CStateManagerf
0x80011FA0 ObjectInScanningRange__7CPlayerF9TUniqueIdRC13CStateManager
0x80012068 FluidFXThink__7CPlayerFQ26CActor11EFluidStateR12CScriptWaterR13CStateManager
0x80012508 GetDamageLocationWR__7CPlayerCFv
0x80012524 GetPrevDamageAmount__7CPlayerCFv
0x8001252C GetDamageAmount__7CPlayerCFv
0x80012534 WasDamaged__7CPlayerCFv
0x8001253C TakeDamage__7CPlayerFbRC9CVector3ff11EWeaponTypeR13CStateManager
0x800128B8 Accept__7CPlayerFR8IVisitor
0x800128F0 HealthInfo__7CPlayerFR13CStateManager
0x80012900 GetTransitionAlpha__7CPlayerCFRC9CVector3ff
0x800129E4 IsUnderBetaMetroidAttack__7CPlayerCFR13CStateManager
0x80012A94 CanLeaveMorphBallState__7CPlayerCFR13CStateManagerR9CVector3f
0x80012EA0 __dt__16CCollidableAABoxFv
0x80012EFC CanEnterMorphBallState__7CPlayerCFR13CStateManagerf
0x8001306C SetHudDisable__7CPlayerFfff
0x800130A8 GetTouchBounds__7CPlayerCFv
0x80013208 Touch__7CPlayerFR6CActorR13CStateManager
0x80013238 UpdateScanningState__7CPlayerFRC11CFinalInputR13CStateManagerf
0x80013504 ValidateScanning__7CPlayerFRC11CFinalInputR13CStateManager
0x80013620 SetScanningState__7CPlayerFQ27CPlayer16EPlayerScanStateR13CStateManager
0x80013810 GetExplorationMode__7CPlayerCFv
0x80013848 GetCombatMode__7CPlayerCFv
0x80013880 RenderGun__7CPlayerCFRC13CStateManagerRC9CVector3f
0x800139D0 Render__7CPlayerCFRC13CStateManager
0x800140D8 GetEntry__34TReservedAverage<12CTransform4f,4>CFi
0x80014138 GetEntry__21TReservedAverage<f,4>CFi
0x80014174 RenderReflectedPlayer__7CPlayerFR13CStateManager
0x800142C0 PreRender__7CPlayerFR13CStateManagerRC14CFrustumPlanes
0x800143E0 CalculateRenderBounds__7CPlayerFv
0x800144A0 AddToRenderer__7CPlayerCFRC14CFrustumPlanesRC13CStateManager
0x8001454C UpdateGunAlpha__7CPlayerFRC13CStateManager
0x80014618 ComputeFreeLook__7CPlayerFRC11CFinalInput
0x80014820 UpdateFreeLook__7CPlayerFf
0x800149A4 DetachActorFromPlayer__7CPlayerFv
0x800149D0 AttachActorToPlayer__7CPlayerF9TUniqueId
0x80014A40 CalculateLeftStickEdgePosition__7CPlayerCFff
0x80014B40 GetMaximumPlayerPositiveVerticalVelocity__7CPlayerCFRC13CStateManager
0x80014B80 UpdateMorphBallState__7CPlayerFfRC11CFinalInputR13CStateManager
0x80014D5C ProcessInput__7CPlayerFRC11CFinalInputR13CStateManager
0x8001570C GetMaterial__19CCollisionPrimitiveCFv
0x80015714 StartLandingControlFreeze__7CPlayerFv
0x80015728 ProcessFrozenInput__7CPlayerFfR13CStateManager
0x800157E8 EndLandingControlFreeze__7CPlayerFv
0x800157FC UpdateFrozenState__7CPlayerFRC11CFinalInputR13CStateManager
0x800159F0 wstring_l__4rstlFPCw
0x80015A2C UnFreeze__7CPlayerFR13CStateManager
0x80015CFC GetFrozenState__7CPlayerCFv
0x80015D14 Freeze__7CPlayerFR13CStateManagerUiUsUi
0x80015EB0 Think__7CPlayerFfR13CStateManager
0x8001644C UpdateWaterSurfaceCameraBias__7CPlayerFR13CStateManager
0x80016540 PreThink__7CPlayerFfR13CStateManager
0x80016578 AcceptScriptMsg__7CPlayerF20EScriptObjectMessage9TUniqueIdR13CStateManager
0x80016D9C UpdateCameraTimers__7CPlayerFfRC11CFinalInput
0x80016EE4 UpdateFreeLookState__7CPlayerFRC11CFinalInputfR13CStateManager
0x8001729C SetCameraState__7CPlayerFQ27CPlayer18EPlayerCameraStateR13CStateManager
0x800173F4 UpdateCameraState__7CPlayerFR13CStateManager
0x80017414 UpdateCinematicState__7CPlayerFR13CStateManager
0x8001766C SetSpawnedMorphBallState__7CPlayerFQ27CPlayer21EPlayerMorphBallStateR13CStateManager
0x800177E4 SetMorphBallState__7CPlayerFQ27CPlayer21EPlayerMorphBallStateR13CStateManager
0x80017A60 GetVisorRunoffEffect__FRC7CPlayerRC13CStateManager
0x80017AB4 SetVisorSteam__7CPlayerFfffUib
0x80017AD8 SetSteam__Q27CPlayer11CVisorSteamFfffUib
0x80017B0C Update__Q27CPlayer11CVisorSteamFf
0x80017CB4 __ct__Q27CPlayer11CVisorSteamFv
0x80017CF0 UpdateFootstepSounds__7CPlayerFRC11CFinalInputR13CStateManagerf
0x80018134 GetMaterialSoundUnderPlayer__7CPlayerFR13CStateManagerPCUsiUs
0x800183A4 SfxIdFromMaterial__7CPlayerFRC13CMaterialListPCUsiUs
0x80018438 UpdatePlayerSounds__7CPlayerFf
0x800184A0 UpdateCrosshairsState__7CPlayerFRC11CFinalInput
0x800184DC UpdateVisorTransition__7CPlayerFfR13CStateManager
0x80018530 UpdateVisorState__7CPlayerFRC11CFinalInputfR13CStateManager
0x800186E4 ShouldSampleFailsafe__7CPlayerCFv
0x80018770 Update__7CPlayerFfR13CStateManager
0x80018D8C __ct__10CModelDataFRC10CModelData
0x80018EC8 ForceGunOrientation__7CPlayerFRC12CTransform4fR13CStateManager
0x80018F54 UpdateArmAndGunTransforms__7CPlayerFfR13CStateManager
0x800190C8 UpdateDebugCamera__7CPlayerFR13CStateManager
0x800190CC GetFirstPersonCameraTransform__7CPlayerCFR13CStateManager
0x800190F4 UpdateGunTransform__7CPlayerFRC9CVector3fR13CStateManager
0x80019558 UpdateAssistedAiming__7CPlayerFRC12CTransform4fR13CStateManager
0x80019940 UpdateAimTargetPrediction__7CPlayerFRC12CTransform4fR13CStateManager
0x80019BD4 GetAverage__31TReservedAverage<9CVector3f,20>CFv
0x80019DA4 ResetAimTargetPrediction__7CPlayerF9TUniqueId
0x80019E20 UpdateGunState__7CPlayerFRC11CFinalInputR13CStateManager
0x8001A0AC DrawGun__7CPlayerFR13CStateManager
0x8001A118 ResetGun__7CPlayerFR13CStateManager
0x8001A16C HolsterGun__7CPlayerFR13CStateManager
0x8001A214 IsMorphBallTransitioning__7CPlayerCFv
0x8001A23C __ct__7CPlayerF9TUniqueIdRC12CTransform4fRC6CAABoxUi9CVector3fffffRC13CMaterialList
0x8001AE38 None__16CActorParametersFv
0x8001AE58 MakePlayerAnimres__FUiRC9CVector3f
0x8001AE90 SetMaterial__19CCollisionPrimitiveFRC13CMaterialList
0x8001AEA4 __nw__24TOneStatic<10CPlayerGun>FUlPCcPCc
0x8001AED4 GetAllocSpace__24TOneStatic<10CPlayerGun>Fv
0x8001AEE0 ReferenceCount__24TOneStatic<10CPlayerGun>Fv
0x8001AF04 __nw__30TOneStatic<16CPlayerCameraBob>FUlPCcPCc
0x8001AF34 __dl__30TOneStatic<16CPlayerCameraBob>FPv
0x8001AF60 GetAllocSpace__30TOneStatic<16CPlayerCameraBob>Fv
0x8001AF6C ReferenceCount__30TOneStatic<16CPlayerCameraBob>Fv
0x8001AF90 __nw__24TOneStatic<10CMorphBall>FUlPCcPCc
0x8001AFC0 GetAllocSpace__24TOneStatic<10CMorphBall>Fv
0x8001AFCC ReferenceCount__24TOneStatic<10CMorphBall>Fv
0x8001AFF0 __dl__20TOneStatic<7CPlayer>FPv
0x8001B01C ReferenceCount__20TOneStatic<7CPlayer>Fv
0x8001B040 GetAverageValue<9CVector3f>__FPC9CVector3fi
0x8001B1B8 reserve__Q24rstl66vector<Q24rstl22auto_ptr<10CModelData>,Q24rstl17rmemory_allocator>Fi
0x8001B2C8 __sinit_CPlayer_cpp
0x8001B424 __pl__FRC10CAxisAngleRC10CAxisAngle
0x8001B458 __ml__FRCfRC10CAxisAngle
0x8001B484 __ml__FRC10CAxisAngleRCf
0x8001B4B0 __apl__10CAxisAngleFRC10CAxisAngle
0x8001B4E4 __amu__10CAxisAngleFRCf
0x8001B510 GetAngle__10CAxisAngleCFv
0x8001B530 GetVector__10CAxisAngleCFv
0x8001B534 Identity__10CAxisAngleFv
0x8001B540 FromVector__10CAxisAngleFRC9CVector3f
0x8001B55C __ct__10CAxisAngleFRC13CUnitVector3ff
0x8001B584 __ct__10CAxisAngleFRC9CVector3f
0x8001B5A0 __sinit_CAxisAngle_cpp
0x8001B5C4 FromQuaternion__12CEulerAnglesFRC11CQuaternion
0x8001B9A4 __sinit_CEulerAngles_cpp
0x8001B9E4 GetUserInput__21CArchMsgParmUserInputCFv
0x8001B9EC __dt__21CArchMsgParmUserInputFv
0x8001BA48 __ct__21CArchMsgParmUserInputFRC11CFinalInput
0x8001BAEC StartSlideShow__11CFrontEndUIFR18CArchitectureQueue
0x8001BB78 SetFadeBlackWithMovie__11CFrontEndUIFv
0x8001BB8C SetFadeBlackTimer__11CFrontEndUIFf
0x8001BB9C GetAttractMovieFileName__11CFrontEndUIFi
0x8001BBD0 GetNextAttractMovieFileName__11CFrontEndUIFi
0x8001BC1C SetCurrentMovie__11CFrontEndUIFQ211CFrontEndUI10EMenuMovie
0x8001BCB8 StopAttractMovie__11CFrontEndUIFv
0x8001BD58 StartAttractMovie__11CFrontEndUIFi
0x8001BE58 CompleteStateTransition__11CFrontEndUIFv
0x8001BF48 StartStateTransition__11CFrontEndUIFQ211CFrontEndUI7EScreen
0x8001C13C CanShowSaveUI__11CFrontEndUIFv
0x8001C174 Draw__11CFrontEndUICFv
0x8001C6D4 ProcessUserInput__11CFrontEndUIFRC11CFinalInputR18CArchitectureQueue
0x8001CAD4 UpdateMovies__11CFrontEndUIFf
0x8001CBA0 PumpMovieLoad__11CFrontEndUI
0x8001CD48 Update__11CFrontEndUIFfR18CArchitectureQueue
0x8001D5D0 PumpLoad__11CFrontEndUIFv
0x8001D67C FinishedLoadingDepsGroup__11CFrontEndUIFv
0x8001D790 UpdateMusicVol__11CFrontEndUIFv
0x8001D810 OnMessage__11CFrontEndUIFRC20CArchitectureMessageR18CArchitectureQueue
0x8001D8BC TransitionToFive__11CFrontEndUIFv
0x8001D978 __dt__11CFrontEndUIFv
0x8001DBD8 __ct__11CFrontEndUIFR18CArchitectureQueue
0x8001DF1C CanBuild__11CResFactoryFRC10SObjectTag
0x8001DF40 DoOptionsCancel__17SFusionBonusFrameFPC14CGuiTableGroup
0x8001E008 DoSelectionChange__17SFusionBonusFrameFPC14CGuiTableGroup
0x8001E0FC DoOptionsAdvance__17SFusionBonusFrameFPC14CGuiTableGroup
0x8001E280 SetTableColors__17SFusionBonusFrameFP14CGuiTableGroup
0x8001E2E8 FinishedLoading__17SFusionBonusFrameFv
0x8001E730 PumpLoad__17SFusionBonusFrameFv
0x8001E858 ProcessUserInput__17SFusionBonusFrameFRC11CFinalInputRC15CSaveGameScreen
0x8001E954 Update__17SFusionBonusFrameFv
0x8001EB10 Draw__17SFusionBonusFrameFv
0x8001EB68 __dt__17SFusionBonusFrameFv
0x8001EC14 __ct__17SFusionBonusFrameFv
0x8001ED4C DoPopupCancel__19SNewFileSelectFrameFPC14CGuiTableGroup
0x8001EDE8 DoPopupAdvance__19SNewFileSelectFrameFPC14CGuiTableGroup
0x8001EF04 DoFileselectCancel__19SNewFileSelectFrameFPC14CGuiTableGroup
0x8001EF64 DoSelectionChange__19SNewFileSelectFrameFPC14CGuiTableGroup
0x8001EFA8 IsTextDoneAnimating__19SNewFileSelectFrameFv
0x8001F084 DeactivateExistingGamePopup__19SNewFileSelectFrameFv
0x8001F10C ActivateExistingGamePopup__19SNewFileSelectFrameFv
0x8001F28C DeactivateNewGamePopup__19SNewFileSelectFrameFv
0x8001F3A0 ActivateNewGamePopup__19SNewFileSelectFrameFv
0x8001F64C ResetFrame__19SNewFileSelectFrameFv
0x8001F748 EnterErase__19SNewFileSelectFrameFv
0x8001F918 ClearFrameContents__19SNewFileSelectFrameFv
0x8001FC50 SetupFrameContents__19SNewFileSelectFrameFv
0x800200C0 DoFileselectAdvance__19SNewFileSelectFrameFPC14CGuiTableGroup
0x80020198 HandleActiveChange__19SNewFileSelectFrameFP10CGuiWidget
0x800202D4 Draw__19SNewFileSelectFrameFv
0x80020318 ProcessUserInput__19SNewFileSelectFrameFRC11CFinalInput
0x80020470 Update__19SNewFileSelectFrameFf
0x8002052C GetUserFileSelection__19SNewFileSelectFrameCFv
0x80020550 FinishedLoading__19SNewFileSelectFrame
